Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
0	fg3_m15	1	0.05	0	1.58	0.03	0.06	9.43	0.59	0.13	4.73	12.0	0.3	0.64
1	fg3_m15	1	0.05	1	5.36	0.07	0.07	11.9	0.87	0.84	4.68	1.85	0.0	0.48
2	fg3_m15	1	0.05	2	1.33	0.06	0.06	13.5	0.87	0.82	6.58	4.33	0.3	0.21
3	fg3_m15	1	0.05	3	0.72	0.04	0.04	11.86	0.69	0.27	7.7	17.85	0.3	0.48
4	fg3_m15	1	0.05	4	1.4	0.03	0.07	9.43	0.68	0.2	3.82	11.67	0.3	0.64
5	fg3_m15	1	0.05	5	1.16	0.03	0.05	13.21	0.77	0.39	9.31	16.33	0.43	0.21
6	fg3_m15	1	0.05	6	0.79	0.03	0.06	10.6	0.88	0.84	0.99	3.29	0.3	0.77
7	fg3_m15	1	0.59	0	12.43	0.06	0.06	11.68	0.59	0.29	13.07	34.64	0.43	0.77
8	fg3_m15	1	0.59	1	5.26	0.05	0.06	13.51	0.84	0.86	6.33	3.95	0.43	0.48
9	fg3_m15	1	0.59	2	9.58	0.04	0.07	21.85	0.76	0.56	8.73	6.76	0.0	0.77
10	fg3_m15	1	0.59	3	13.14	0.04	0.06	12.66	0.74	0.41	3.28	9.3	0.91	0.48
11	fg3_m15	1	0.59	4	51.01	0.04	0.05	10.75	0.63	0.15	2.44	5.58	0.61	0.21
12	fg3_m15	1	0.59	5	3.6	0.07	0.08	20.39	0.68	0.29	3.3	10.74	0.68	0.21
13	fg3_m15	1	0.59	6	7.8	0.05	0.06	18.45	0.81	0.77	10.29	15.12	0.68	0.88
14	fg3_m15	1	0.88	0	15.1	0.03	0.04	8.73	0.59	0.11	3.73	9.17	0.0	0.64
15	fg3_m15	1	0.88	1	2.99	0.06	0.06	14.62	0.83	0.78	3.14	4.61	0.3	0.48
16	fg3_m15	1	0.88	2	3.59	0.05	0.05	14.34	0.8	0.7	16.25	23.72	0.43	0.48
17	fg3_m15	1	0.88	3	1.65	0.03	0.04	10.15	0.73	0.35	8.99	17.81	0.43	0.48
18	fg3_m15	1	0.88	4	10.85	0.03	0.03	8.69	0.62	0.1	1.62	3.27	0.43	0.64
19	fg3_m15	1	0.88	5	1.3	0.03	0.05	15.86	0.73	0.46	0.86	3.07	0.3	0.48
20	fg3_m15	1	0.88	6	4.08	0.05	0.06	15.04	0.83	0.79	1.39	1.72	0.3	0.48
21	fg3_m15	1	1.17	0	8.8	0.05	0.05	10.07	0.59	0.16	7.56	17.11	0.3	0.88
22	fg3_m15	1	1.17	1	0.86	0.05	0.06	11.59	0.83	0.79	4.73	5.68	0.0	0.48
23	fg3_m15	1	1.17	2	1.69	0.05	0.06	14.12	0.79	0.68	18.12	39.23	0.43	0.48
24	fg3_m15	1	1.17	3	2.32	0.03	0.04	10.58	0.71	0.36	2.38	2.98	0.43	0.48
25	fg3_m15	1	1.17	4	7.96	0.03	0.04	9.76	0.61	0.11	3.62	8.8	0.0	0.88
26	fg3_m15	1	1.17	5	0.28	0.03	0.05	16.66	0.74	0.46	1.58	3.55	0.0	0.21
27	fg3_m15	1	1.17	6	2.02	0.03	0.04	11.65	0.83	0.79	4.55	3.99	0.3	0.77
28	fg3_m15	1	1.47	0	1.02	0.04	0.04	8.74	0.61	0.15	1.93	4.01	0.0	0.48
29	fg3_m15	1	1.47	1	2.05	0.04	0.05	13.56	0.8	0.78	5.34	6.22	0.3	0.77
30	fg3_m15	1	1.47	2	0.46	0.03	0.04	13.68	0.81	0.69	16.94	21.54	0.3	0.48
31	fg3_m15	1	1.47	3	1.81	0.03	0.04	11.08	0.71	0.32	2.54	4.06	0.3	0.48
32	fg3_m15	1	1.47	4	4.53	0.04	0.05	8.76	0.6	0.13	1.55	3.89	0.3	0.48
33	fg3_m15	1	1.47	5	0.05	0.04	0.05	11.67	0.73	0.49	14.24	28.27	0.43	0.88
34	fg3_m15	1	1.47	6	2.04	0.03	0.04	11.71	0.84	0.79	3.86	4.24	0.3	0.88
